id,authors,title,journal,year,volume,issue,pages,doi,pdf_link
23,"Kempanna Harish, Jayaraman Balamurugan, Thanh Tuan Nguyen, Nam Hoon Kim, Joong Hee Lee",Advanced interfacial engineering of oxygen-enriched FexSn1-xOSe nanostructures for efficient overall water splitting and flexible zinc-air batteries,Applied Catalysis B: Environmental,2022,305,,120924,10.1016/j.apcatb.2021.120924,https://drive.google.com/file/d/1GTDTMD1hPshfQze9bpN3OSWNaZK0K4p0/view?usp=sharing
24,"Rongrong Chu, Thanh Tuan Nguyen, Yanqun Bai, Nam Hoon Kim, Joong Hee Lee",Uniformly Controlled Treble Boundary Using Enriched Adsorption Sites and Accelerated Catalyst Cathode for Robust Lithium–Sulfur Batteries,Advanced Energy Materials,2022,12,,2102805,10.1002/aenm.202102805,https://drive.google.com/file/d/1aNKLZ9faa05xnLFzKbcfl4VCBpvl9OFe/view?usp=sharing
25,"Ravichandran Balaji, Thanh Tuan Nguyen, Kempanna Harish, Nam Hoon Kim, Joong Hee Lee",Modulating heterointerfaces of tungsten incorporated CoSe/Co3O4 as highly efficient electrocatalyst for overall water splitting,Journal of Materials Chemistry A,2022,10,,3782,10.1039/D1TA09932A ,https://drive.google.com/file/d/1n5ZcNsgIqbKxg_x_TxnM576aijL9KNHS/view?usp=sharing
26,"Yanqun Bai, Thanh Tuan Nguyen, Rongrong Chu, Nam Hoon Kim, Joong Hee Lee",Core-shell hollow nanostructures as highly efficient polysulfide conversion and adsorption cathode for shuttle-free lithium-sulfur batteries,Chemical Engineering Journal,2023,454,,140338,10.1016/j.cej.2022.140338,https://drive.google.com/file/d/1wk-1aAN_LhZB3wLvQN74TN5I7TRngWB1/view?usp=sharing
27,"Hyun Wook Go, Thanh Tuan Nguyen, Quynh Phuong Ngo, Rongrong Chu, Nam Hoon Kim, Joong Hee Lee",Tailored Heterojunction Active Sites for Oxygen Electrocatalyst Promotion in Zinc-Air Batteries,Small,2023,19,,2206341,10.1002/smll.202206341,https://drive.google.com/file/d/1MCTvczPyM_KWpsfBNwYa8RuWDpqh76uk/view?usp=sharing
28,"Manjinder Singh, Thanh Tuan Nguyen, Quynh Phuong Ngo, Do Hwan Kim, Nam Hoon Kim, Joong Hee Lee","Metallic Metastable Hybrid 1T′/1T Phase Triggered Co,P-SnS2 Nanosheets for High Efficiency Trifunctional Electrocatalyst",Small,2023,19,,2206726,10.1002/smll.202206726,https://drive.google.com/file/d/1V0CE19jmnSkIw24CaEOVpJ97CkA6SEhw/view?usp=sharing
29,"Quynh Phuong Ngo, Thanh Tuan Nguyen, Manjinder Singh, Ravichandran Balaji, Nam Hoon Kim, Joong Hee Lee",Vanadium tunning amorphous iron phosphate encapsulated iron phosphide on phosphorous-doped graphene promoted oxygen reactions for flexible zinc air batteries,Applied Catalysis B: Environmental,2023,331,,122674,10.1016/j.apcatb.2023.122674,https://drive.google.com/file/d/1hJr2Fux0PcJ5uisDNZpfpOGIF8g9DAg7/view?usp=sharing
30,"Mani Ram Kandel, Uday Narayan Pan, Purna Prasad Dhakal, Ram Babu Ghising, Thanh Tuan Nguyen, Junhuan Zhao, Nam Hoon Kim, Joong Hee Lee",Unique heterointerface engineering of Ni2P- MnP nanosheets coupled Co2P nanoflowers as hierarchical dual-functional electrocatalyst for highly proficient overall water-splitting,Applied Catalysis B: Environmental,2023,331,,122680,10.1016/j.apcatb.2023.122680,https://drive.google.com/file/d/1xLFArBY8VviNS5-exvys2njO5zmbpxHd/view?usp=sharing
31,"Ravichandran Balaji, Thanh Tuan Nguyen, Do Hwan Kim, Nam Hoon Kim, Joong Hee Lee",Electronic coupling coordinated vanadium nitride/magnesium oxide hetero-junction for accelerating oxygen reaction and long-life flexible zinc-air batteries,Applied Catalysis B: Environmental,2023,335,,122895,10.1016/j.apcatb.2023.122895,https://drive.google.com/file/d/11n4l4cvAJ_r1gRuEPuAgtfAL6VloMb6L/view?usp=sharing
32,"Rongrong Chu, Thanh Tuan Nguyen, Hewei Song, Muthu Austeria, Yanqun Bai, Do Hwan Kim, Nam Hoon Kim, Joong Hee Lee",Crystal transformation engineering for effective polysulfides blocking layer for excellent energy density lithium–sulfur batteries,Energy Storage Materials,2023,61,,102877,10.1016/j.ensm.2023.102877,https://drive.google.com/file/d/1UOQopx1acScsa--7DN95pQ1zuCFg0fh6/view?usp=sharing
33,"Yanqun Bai, Thanh Tuan Nguyen, Rongrong Chu, Hewei Song, Nam Hoon Kim, Joong Hee Lee",Heterostructured TiN/TiO2 on the hierarchical N-doped carbon for enhancing the polysulfide immobilization and sulfur reduction in lithium-sulfur battery,Chemical Engineering Journal,2023,476,,146581,10.1016/j.cej.2023.146581,https://drive.google.com/file/d/1r6BVZfDD1LqH91EkyKknOSE9M1Cctfyg/view?usp=sharing
34,"Quynh Phuong Ngo, Thanh Tuan Nguyen, Quang Tien Thinh Le, Joong Hee Lee, Nam Hoon Kim",Unveiling the Synergistic Effect of Atomic Iridium Modulated Zirconium-Doped Pure Phase Cobalt Phosphide for Robust Anion-Exchange Membrane Water Electrolyzer,Advanced Energy Materials,2023,13,44,2301841,10.1002/aenm.202301841,https://drive.google.com/file/d/10rsf8cq1Yq5h_SdUXCRo2heGZpGOPiHj/view?usp=sharing
35,"Rongrong Chu, Thanh Tuan Nguyen, Hewei Song, Yanqun Bai, Duy Thanh Tran, Nam Hoon Kim, Joong Hee Lee",Enriched vacancies of ruthenium doped niobium oxide on hollow graphene sphere as sulfur reduction reaction promoter in lithium sulfur batteries,Applied Catalysis B: Environment and Energy,2024,352,,124030,10.1016/j.apcatb.2024.124030,https://drive.google.com/file/d/1xeWp1St6JsgwxVo4IIfJ3lvBCp9pAXNa/view?usp=sharing
36,"Quynh Phuong Ngo, Thanh Tuan Nguyen, Manjinder Singh, Nam Hoon Kim, Joong Hee Lee","The Mott–Schottky Co2P/Co heterocatalyst encapsulated by N,P-doped graphene/carbon nanotubes as high-efficiency trifunctional electrocatalysts for cable-type flexible Zn–air batteries and water splitting",Journal of Materials Chemistry A,2024,12,,1185-1199,10.1039/D3TA05029G,https://drive.google.com/file/d/153Kia2en8J17Pi4r1qkB8ct8CuGobMy1/view?usp=sharing
37,"Yanqun Bai, Thanh Tuan Nguyen, Hewei Song, Rongrong Chu, Duy Thanh Tran, Nam Hoon Kim, Joong Hee Lee",Ru Single Atom Dispersed on MoS2/MXene for Enhanced Sulfur Reduction Reaction in Lithium–Sulfur Batteries,Small,2024,20,38,2402074,10.1002/smll.202402074,https://drive.google.com/file/d/1hQS63OXotSLlzDFY5wiFPpAajojIdM_n/view?usp=sharing
38,"Hewei Song, Thanh Tuan Nguyen, Rongrong Chu, Yanqun Bai, Nam Hoon Kim, Joong Hee Lee",Coupling interfacial effect in heterogeneous RuP2-RuP for accelerating sulfur reduction reaction of lithium sulfur batteries,Nano Energy,2024,128,,109859,10.1016/j.nanoen.2024.109859,https://drive.google.com/file/d/1rMi5nQXROTUuHpi0PZglvDbW7ce1V7K0/view?usp=sharing
39,"Ravichandran Balaji, Thanh Tuan Nguyen, Quynh Phuong Ngo, Nam Hoon Kim, Joong Hee Lee",Unveiling the Synergistic Mechanism of Atomic Rh on Couple Phase CoSe2/CoSeO3 for Enhanced Alkaline Water Electrolysis Devices,Advanced Functional Materials,2024,34,52,2410672,10.1002/adfm.202410672,https://drive.google.com/file/d/1gT1d9bdPb59y-JkbvmY8Yk4LXp1hWAkE/view?usp=sharing
40,"Balaji S Salokhe, Thanh Tuan Nguyen, Rohit Singh Rawat, Hewei Song, Nam Hoon Kim, Joong Hee Lee",Unlocking Peak Efficiency in Anion-Exchange Membrane Electrolysis with Iridium Infused Ni/Ni2P Heterojunction Electrocatalysts,Small,2025,21,9,2410986,10.1002/smll.202410986,https://drive.google.com/file/d/17WjUPrebmPFbsg14c9jPL3rjbJ-8y5V3/view?usp=sharing
41,"Rohit Singh Rawat, Thanh Tuan Nguyen, Hewei Song, Kang Won Seo, Nam Hoon Kim, Joong Hee Lee",Regulating electrode–electrolyte interfaces by grain refinement effect for propelling polysulfide transformation reaction,Chemical Engineering Journal,2025,506,,159908,10.1016/j.cej.2025.159908,https://drive.google.com/file/d/10dtyCcE-2WB6N2WkjASyoArZ_u1RhMl4/view?usp=sharing
